Experiment:, Experiment 1
Start date:, Wednesday, November 29, 2023
Start time:, 5:34:46 PM +01:00
Time (s), Voltage (V), Current Density (A/cm2)
0.666666, -0.4985705, -1.780586e-06
1.333332, -0.4884724, -1.773728e-06
1.999998, -0.4785321, -1.768584e-06
2.666664, -0.4685918, -1.766246e-06
3.33333, -0.4586515, -1.758764e-06
3.999996, -0.4485534, -1.753621e-06
4.666662, -0.4387709, -1.751283e-06
5.333328, -0.428515, -1.743334e-06
5.999994, -0.4187325, -1.738346e-06
6.66666, -0.4087922, -1.735852e-06
7.333326, -0.3988519, -1.728215e-06
7.999992, -0.3887538, -1.72276e-06
8.666658, -0.3788135, -1.719954e-06
9.333324, -0.3687154, -1.712317e-06
9.99999, -0.3589329, -1.706861e-06
10.66666, -0.3489926, -1.704212e-06
11.33332, -0.3390523, -1.696262e-06
11.99999, -0.329112, -1.690495e-06
12.66665, -0.3193295, -1.687846e-06
13.33332, -0.3090736, -1.68052e-06
13.99999, -0.2991333, -1.673506e-06
14.66665, -0.2888774, -1.6707e-06
15.33332, -0.2790949, -1.663842e-06
15.99998, -0.2691546, -1.656049e-06
16.66665, -0.2590565, -1.653244e-06
17.33332, -0.2491162, -1.646853e-06
17.99998, -0.2379782, -1.638436e-06
18.66665, -0.2279342, -1.635007e-06
19.33331, -0.2179691, -1.62924e-06
19.99998, -0.2079251, -1.6202e-06
20.66665, -0.1978339, -1.615992e-06
21.33331, -0.1878529, -1.610536e-06
21.99998, -0.1776986, -1.600561e-06
22.66664, -0.1677808, -1.595106e-06
23.33331, -0.1577053, -1.589339e-06
23.99998, -0.1476771, -1.578116e-06
24.66664, -0.1376647, -1.570479e-06
25.33331, -0.1277626, -1.562686e-06
25.99997, -0.1176871, -1.547878e-06
26.66664, -0.1076116, -1.534006e-06
27.33331, -0.09755189, -1.51842e-06
27.99997, -0.0875237, -1.492546e-06
28.66664, -0.07733783, -1.460905e-06
29.3333, -0.06737271, -1.421316e-06
29.99997, -0.05745489, -1.360372e-06
30.66664, -0.04748976, -1.27714e-06
31.3333, -0.03750887, -1.160709e-06
31.99997, -0.02748068, -9.859832e-07
32.66663, -0.01734452, -7.336369e-07
33.3333, -0.007302002, -3.703143e-07
33.99997, 0.002552555, 1.551085e-07
34.66663, 0.0124356, 9.225903e-07
35.3333, 0.02249064, 2.094458e-06
35.99996, 0.03243621, 3.756305e-06
36.66663, 0.04252747, 6.235045e-06
37.3333, 0.05260297, 9.840912e-06
37.99996, 0.06266271, 1.518657e-05
38.66663, 0.07262783, 2.298291e-05
39.33329, 0.08278216, 3.452543e-05
39.99996, 0.09268422, 5.043302e-05
40.66663, 0.102807, 5.067777e-05
41.33329, 0.1130402, 5.067777e-05
